,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index
,open,high,low,close,volume,num_trds,value
2022-08-22 11:36:00-04:00,1533.7,1533.91,1533.68,1533.91,0,4,0.0
2022-08-22 11:37:00-04:00,1533.92,1533.92,1533.75,1533.77,0,4,0.0
2022-08-22 11:38:00-04:00,1533.71,1533.71,1533.27,1533.27,0,4,0.0
2022-08-22 11:39:00-04:00,1533.2,1533.2,1533.17,1533.2,0,4,0.0
2022-08-22 11:40:00-04:00,1533.3,1533.56,1533.3,1533.56,0,4,0.0
2022-08-22 11:41:00-04:00,1533.55,1533.56,1533.39,1533.39,0,4,0.0
2022-08-22 11:42:00-04:00,1533.48,1533.48,1533.04,1533.04,0,4,0.0
2022-08-22 11:43:00-04:00,1533.03,1533.06,1532.99,1532.99,0,4,0.0
2022-08-22 11:44:00-04:00,1532.78,1532.84,1532.76,1532.84,0,4,0.0
2022-08-22 11:45:00-04:00,1532.96,1533.15,1532.96,1533.15,0,4,0.0
2022-08-22 11:46:00-04:00,1533.18,1533.19,1533.09,1533.09,0,4,0.0
2022-08-22 11:47:00-04:00,1532.72,1532.72,1532.54,1532.54,0,4,0.0
2022-08-22 11:48:00-04:00,1532.6,1532.64,1532.53,1532.64,0,4,0.0
2022-08-22 11:49:00-04:00,1532.67,1532.9,1532.67,1532.9,0,4,0.0
2022-08-22 11:50:00-04:00,1533.09,1533.5,1533.09,1533.5,0,4,0.0
2022-08-22 11:51:00-04:00,1533.52,1533.75,1533.52,1533.75,0,4,0.0
2022-08-22 11:52:00-04:00,1533.65,1533.66,1533.63,1533.63,0,4,0.0
2022-08-22 11:53:00-04:00,1533.66,1533.82,1533.66,1533.82,0,4,0.0
2022-08-22 11:54:00-04:00,1533.79,1533.87,1533.79,1533.81,0,4,0.0
2022-08-22 11:55:00-04:00,1533.61,1533.61,1533.41,1533.41,0,4,0.0
2022-08-22 11:56:00-04:00,1533.43,1533.55,1533.43,1533.55,0,4,0.0
2022-08-22 11:57:00-04:00,1533.56,1533.75,1533.56,1533.73,0,4,0.0
2022-08-22 11:58:00-04:00,1533.76,1533.76,1533.52,1533.52,0,4,0.0
2022-08-22 11:59:00-04:00,1533.48,1533.64,1533.48,1533.64,0,4,0.0
2022-08-22 12:00:00-04:00,1533.55,1533.55,1533.44,1533.44,0,4,0.0
2022-08-22 12:01:00-04:00,1533.46,1533.71,1533.46,1533.71,0,4,0.0
2022-08-22 12:02:00-04:00,1533.97,1534.07,1533.96,1534.07,0,4,0.0
2022-08-22 12:03:00-04:00,1534.18,1534.27,1534.18,1534.27,0,4,0.0
2022-08-22 12:04:00-04:00,1534.24,1534.24,1534.0,1534.0,0,4,0.0
2022-08-22 12:05:00-04:00,1533.85,1533.85,1533.48,1533.48,0,4,0.0
2022-08-22 12:06:00-04:00,1533.2,1533.32,1533.2,1533.31,0,4,0.0
2022-08-22 12:07:00-04:00,1533.35,1533.35,1532.98,1532.98,0,4,0.0
2022-08-22 12:08:00-04:00,1532.62,1532.62,1532.48,1532.48,0,4,0.0
2022-08-22 12:09:00-04:00,1532.45,1532.45,1532.36,1532.39,0,4,0.0
2022-08-22 12:10:00-04:00,1532.36,1532.36,1532.05,1532.05,0,4,0.0
2022-08-22 12:11:00-04:00,1531.94,1531.94,1531.9,1531.9,0,4,0.0
2022-08-22 12:12:00-04:00,1531.92,1531.97,1531.75,1531.76,0,4,0.0
2022-08-22 12:13:00-04:00,1531.79,1532.06,1531.79,1532.06,0,4,0.0
2022-08-22 12:14:00-04:00,1532.04,1532.04,1531.86,1531.86,0,4,0.0
2022-08-22 12:15:00-04:00,1531.83,1531.94,1531.78,1531.78,0,4,0.0
2022-08-22 12:16:00-04:00,1531.68,1531.68,1531.32,1531.32,0,4,0.0
2022-08-22 12:17:00-04:00,1531.49,1531.63,1531.49,1531.63,0,4,0.0
2022-08-22 12:18:00-04:00,1531.71,1531.91,1531.71,1531.91,0,4,0.0
2022-08-22 12:19:00-04:00,1531.9,1531.98,1531.9,1531.98,0,4,0.0
2022-08-22 12:20:00-04:00,1532.1,1532.49,1532.1,1532.49,0,4,0.0
2022-08-22 12:21:00-04:00,1532.62,1532.93,1532.62,1532.93,0,4,0.0
2022-08-22 12:22:00-04:00,1532.96,1532.96,1532.86,1532.86,0,4,0.0
2022-08-22 12:23:00-04:00,1532.82,1533.04,1532.72,1533.04,0,4,0.0
